IGN,YEAR,POS,NAT,TEAM,BIRTH,CHAMP1,CHAMP2,CHAMP3,LEAGUE
SWORDART,23,Support,China,Anyone's Legend,1996-12-21,Rakan,Nautilus,Alistar,LPL
BIN,23,Top Laner,China,Bilibili Gaming,2003-09-28,Jax,Renekton,K'Sante,LPL
XUN,23,Jungler,China,Bilibili Gaming,2002-02-05,Vi,Wukong,Sejuani,LPL
YAGAO,23,Mid Laner,China,Bilibili Gaming,1998-10-19,Annie,Jayce,Ahri,LPL
ELK,23,Bot Laner,China,Bilibili Gaming,2001-09-29,Aphelios,Zeri,Xayah,LPL
ON,23,Support,China,Bilibili Gaming,2003-05-12,Rakan,Nautilus,Lulu,LPL
ALE,23,Top Laner,China,EDward Gaming,2001-07-23,Renekton,Jax,Sion,LPL
JIEJIE,23,Jungler,China,EDward Gaming,2001-10-27,Maokai,Sejuani,Wukong,LPL
FOFO,23,Mid Laner,Taiwan,EDward Gaming,1999-01-08,Jayce,Azir,Tristana,LPL
LEAVE,23,Bot Laner,China,EDward Gaming,2002-09-29,Aphelios,Zeri,Lucian,LPL
MEIKO,23,Support,China,EDward Gaming,1998-06-06,Nautilus,Lulu,Rakan,LPL
XIAOLAOHU,23,Top Laner,China,FunPlus Phoenix,2002-08-22,K'Sante,Jax,Gwen,LPL
FEARNESS,23,Top Laner,China,FunPlus Phoenix,2002-03-18,K'Sante,Renekton,Sion,LPL
HAOYE,23,Jungler,China,FunPlus Phoenix,2003-01-23,Wukong,Nocturne,Kha'Zix,LPL
H4CKER,23,Jungler,China,FunPlus Phoenix,1999-01-15,Wukong,Sejuani,Vi,LPL
CARE,23,Mid Laner,China,FunPlus Phoenix,2004-02-28,Annie,Ahri,Akali,LPL
LWX,23,Bot Laner,China,FunPlus Phoenix,1998-10-24,Aphelios,Zeri,Xayah,LPL
LELE,23,Support,China,FunPlus Phoenix,2000-07-11,Yuumi,Heimerdinger,Lux,LPL
QIUQIU,23,Support,China,FunPlus Phoenix,1998-04-17,Lulu,Rakan,Nautilus,LPL
YSKM,23,Top Laner,China,Invictus Gaming,2004-02-11,Fiora,Jax,Camille,LPL
NENY,23,Top Laner,China,Invictus Gaming,2003-09-28,Sion,Ryze,Gnar,LPL
GIDEON,23,Jungler,South Korea,Invictus Gaming,2003-08-14,Maokai,Sejuani,Viego,LPL
DOVE,23,Mid Laner,South Korea,Invictus Gaming,1998-07-25,Sylas,Azir,Galio,LPL
AHN,23,Bot Laner,China,Invictus Gaming,2001-03-15,Aphelios,Draven,Xayah,LPL
WINK,23,Support,China,Invictus Gaming,1999-11-02,Nautilus,Rakan,Blitzcrank,LPL
369,23,Top Laner,China,JD Gaming,2001-07-12,K'Sante,Ornn,Renekton,LPL
KANAVI,23,Jungler,South Korea,JD Gaming,2000-11-02,Wukong,Sejuani,Vi,LPL
KNIGHT,23,Mid Laner,China,JD Gaming,2000-05-22,Jayce,Ahri,Annie,LPL
RULER,23,Bot Laner,South Korea,JD Gaming,1998-12-29,Xayah,Aphelios,Zeri,LPL
MISSING,23,Support,China,JD Gaming,2001-05-26,Rakan,Lulu,Alistar,LPL
XIAOXU,23,Top Laner,China,LGD Gaming,2003-09-11,K'Sante,Jax,Renekton,LPL
METEOR,23,Jungler,China,LGD Gaming,1999-12-26,Maokai,Sejuani,Wukong,LPL
HAICHAO,23,Mid Laner,China,LGD Gaming,2003-04-17,Ahri,Jayce,Akali,LPL
XQW,23,Mid Laner,China,LGD Gaming,2003-04-02,Jayce,Azir,Tristana,LPL
LPC,23,Bot Laner,China,LGD Gaming,2001-06-20,Varus,Aphelios,Jhin,LPL
JINJIAO,23,Support,China,LGD Gaming,1998-04-15,Nautilus,Heimerdinger,Rakan,LPL
ZIKA,23,Top Laner,China,LNG Esports,2003-07-07,Jax,Renekton,K'Sante,LPL
TARZAN,23,Jungler,South Korea,LNG Esports,1999-08-23,Maokai,Sejuani,Wukong,LPL
SCOUT,23,Mid Laner,South Korea,LNG Esports,1998-03-14,Jayce,Azir,Neeko,LPL
LP,23,Bot Laner,China,LNG Esports,2002-08-04,Aphelios,Varus,Zeri,LPL
HANG,23,Support,China,LNG Esports,2003-02-05,Nautilus,Rakan,Leona,LPL
INVINCIBLE,23,Top Laner,China,Ninjas in Pyjamas,2001-01-30,Jax,Renekton,K'Sante,LPL
RICH,23,Top Laner,South Korea,Ninjas in Pyjamas,1998-02-16,K'Sante,Fiora,Illaoi,LPL
XLB,23,Jungler,China,Ninjas in Pyjamas,1999-08-06,Maokai,Sejuani,Lee Sin,LPL
SHAD0W,23,Jungler,Italy,Ninjas in Pyjamas,2001-02-25,Maokai,Poppy,Wukong,LPL
DREAM,23,Mid Laner,China,Ninjas in Pyjamas,2002-09-15,Akali,Jayce,Ahri,LPL
POUT,23,Mid Laner,South Korea,Ninjas in Pyjamas,2003-10-03,Sylas,Ryze,Azir,LPL
PHOTIC,23,Bot Laner,China,Ninjas in Pyjamas,2002-10-11,Aphelios,Xayah,Kai'Sa,LPL
ZHUO,23,Support,China,Ninjas in Pyjamas,2001-02-13,Nautilus,Rakan,Yuumi,LPL
SHANJI,23,Top Laner,China,Oh My God,2000-09-14,K'Sante,Sion,Rumble,LPL
AKI,23,Jungler,China,Oh My God,2000-04-09,Wukong,Vi,Maokai,LPL
CREME,23,Mid Laner,China,Oh My God,2003-12-14,Yone,Ahri,Sylas,LPL
ABLE,23,Bot Laner,China,Oh My God,2000-02-24,Aphelios,Zeri,Xayah,LPL
JERRY,23,Support,China,Oh My God,2001-01-24,Nami,0,0,LPL
PPGOD,23,Support,China,Oh My God,2000-03-31,Rakan,Lulu,Milio,LPL
CUBE,23,Top Laner,China,Rare Atom,2002-07-14,K'Sante,Renekton,Jax,LPL
LEYAN,23,Jungler,China,Rare Atom,2002-07-07,Wukong,Vi,Sejuani,LPL
STRIVE,23,Mid Laner,China,Rare Atom,2002-08-28,Ahri,Annie,Sylas,LPL
ASSUM,23,Bot Laner,China,Rare Atom,2003-11-30,Varus,Jinx,Xayah,LPL
SOUTHWIND,23,Support,China,Rare Atom,1996-07-23,Nautilus,Heimerdinger,Karma,LPL
BKR,23,Support,China,Rare Atom,,Nautilus,Rakan,Alistar,LPL
BREATHE,23,Top Laner,China,Royal Never Give Up,2001-02-19,K'Sante,Sion,Renekton,LPL
WEI,23,Jungler,China,Royal Never Give Up,2002-11-09,Wukong,Vi,Maokai,LPL
TANGYUAN,23,Mid Laner,China,Royal Never Give Up,2004-01-30,Annie,Ahri,Neeko,LPL
ANGEL,23,Mid Laner,China,Royal Never Give Up,2000-09-16,Ahri,Jayce,Annie,LPL
GALA,23,Bot Laner,China,Royal Never Give Up,2001-02-14,Xayah,Aphelios,Zeri,LPL
BUNNY,23,Support,China,Royal Never Give Up,2002-01-19,Nautilus,Rakan,Alistar,LPL
MING,23,Support,China,Royal Never Give Up,1998-12-22,Nautilus,Heimerdinger,Nami,LPL
BIUBIU,23,Top Laner,China,Team WE,1999-06-01,K'Sante,Sion,Renekton,LPL
HENG,23,Jungler,China,Team WE,2001-07-16,Vi,Maokai,Sejuani,LPL
SHANKS,23,Mid Laner,China,Team WE,2001-03-15,Azir,Ryze,Annie,LPL
HOPE,23,Bot Laner,China,Team WE,2000-09-29,Zeri,Aphelios,Varus,LPL
IWANDY,23,Support,China,Team WE,2000-08-27,Nautilus,Nami,Rakan,LPL
HOYA,23,Top Laner,South Korea,ThunderTalk Gaming,2000-08-25,K'Sante,Renekton,Gragas,LPL
BEICHUAN,23,Jungler,China,ThunderTalk Gaming,2001-07-21,Sejuani,Wukong,Vi,LPL
UCAL,23,Mid Laner,South Korea,ThunderTalk Gaming,2001-01-30,Azir,Tristana,Annie,LPL
HUANFENG,23,Bot Laner,China,ThunderTalk Gaming,2001-05-20,Aphelios,Varus,Zeri,LPL
XINLIU,23,Support,China,ThunderTalk Gaming,2001-07-27,Lulu,Renata Glasc,Ashe,LPL
YAOYAO,23,Support,China,ThunderTalk Gaming,2001-07-20,Nautilus,Rell,Rakan,LPL
QINGTIAN,23,Top Laner,China,Top Esports,2002-04-15,K'Sante,Renekton,Sion,LPL
WAYWARD,23,Top Laner,China,Top Esports,2001-06-23,K'Sante,Gragas,Gnar,LPL
TIAN,23,Jungler,China,Top Esports,2000-07-24,Sejuani,Wukong,Maokai,LPL
ROOKIE,23,Mid Laner,South Korea,Top Esports,1997-03-11,Jayce,Ahri,Azir,LPL
JACKEYLOVE,23,Bot Laner,China,Top Esports,2000-11-18,Varus,Xayah,Lucian,LPL
MARK,23,Support,China,Top Esports,1999-05-20,Nautilus,Nami,Lulu,LPL
HERY,23,Top Laner,China,Ultra Prime,2001-09-29,K'Sante,Gnar,Renekton,LPL
NING,23,Jungler,China,Ultra Prime,1998-03-12,Sejuani,Vi,Wukong,LPL
QING,23,Mid Laner,China,Ultra Prime,2002-02-28,Syndra,Zoe,Taliyah,LPL
FORGE,23,Mid Laner,China,Ultra Prime,2000-09-01,Annie,Gragas,Akali,LPL
DOGGO,23,Bot Laner,Taiwan,Ultra Prime,2003-01-14,Aphelios,Zeri,Xayah,LPL
BAOLAN,23,Support,China,Ultra Prime,1999-07-16,Lulu,Nautilus,Nami,LPL
THESHY,23,Top Laner,South Korea,Weibo Gaming,1999-11-11,K'Sante,Renekton,Gnar,LPL
KARSA,23,Jungler,Taiwan,Weibo Gaming,1997-02-14,Vi,Sejuani,Elise,LPL
XIAOHU,23,Mid Laner,China,Weibo Gaming,1998-01-28,Azir,Tristana,Syndra,LPL
LIGHT,23,Bot Laner,China,Weibo Gaming,2001-02-21,Aphelios,Zeri,Kai'Sa,LPL
CRISP,23,Support,China,Weibo Gaming,1998-08-20,Rakan,Nami,Leona,LPL
ZDZ,22,Top Laner,China,Anyone's Legend,2001-12-03,Camille,Gwen,Gangplank,LPL
XIAOHAO,22,Jungler,China,Anyone's Legend,2002-07-19,Xin Zhao,Lee Sin,Viego,LPL
FORGE,22,Mid Laner,China,Anyone's Legend,2000-09-01,Swain,Ryze,Akali,LPL
MAPLE,22,Mid Laner,Taiwan,Anyone's Legend,1997-10-10,Azir,Ahri,Corki,LPL
BETTY,22,Bot Laner,China,Anyone's Legend,2000-01-16,Jinx,Aphelios,Kalista,LPL
QIUQIU,22,Support,China,Anyone's Legend,1998-04-17,Nautilus,Leona,Amumu,LPL
BREATHE,22,Top Laner,China,Bilibili Gaming,2001-02-19,K'Sante,Sion,Renekton,LPL
WEIWEI,22,Jungler,China,Bilibili Gaming,2000-08-14,Gwen,Fiora,Gnar,LPL
FOFO,22,Mid Laner,Taiwan,Bilibili Gaming,1999-01-08,Orianna,Azir,LeBlanc,LPL
DOGGO,22,Bot Laner,Taiwan,Bilibili Gaming,2003-01-14,Aphelios,Jinx,Zeri,LPL
UZI,22,Bot Laner,China,Bilibili Gaming,1997-04-05,Jinx,Zeri,Ezreal,LPL
CRISP,22,Support,China,Bilibili Gaming,1998-08-20,Leona,Nautilus,Renata Glasc,LPL
FLANDRE,22,Top Laner,China,EDward Gaming,1998-08-28,Gnar,Gragas,Jayce,LPL
XIAOXIANG,22,Top Laner,China,EDward Gaming,2002-03-18,Gwen,Gnar,Renekton,LPL
JIEJIE,22,Jungler,China,EDward Gaming,2001-10-27,Lee Sin,Xin Zhao,Viego,LPL
SCOUT,22,Mid Laner,South Korea,EDward Gaming,1998-03-14,Azir,Sylas,Ahri,LPL
VIPER,22,Bot Laner,South Korea,EDward Gaming,2000-10-19,Aphelios,Jinx,Zeri,LPL
MEIKO,22,Support,China,EDward Gaming,1998-06-06,Nautilus,Leona,Lulu,LPL
XIAOLAOHU,22,Top Laner,China,FunPlus Phoenix,2002-08-22,Gwen,Jayce,Graves,LPL
BEICHUAN,22,Jungler,China,FunPlus Phoenix,2001-07-21,Viego,Wukong,Lee Sin,LPL
CLID,22,Jungler,South Korea,FunPlus Phoenix,1999-07-07,Viego,Lee Sin,Xin Zhao,LPL
GORI,22,Mid Laner,South Korea,FunPlus Phoenix,2000-08-09,Ahri,Corki,Azir,LPL
CARE,22,Mid Laner,China,FunPlus Phoenix,2004-02-28,Ahri,Sylas,Akali,LPL
LWX,22,Bot Laner,China,FunPlus Phoenix,1998-10-24,Aphelios,Jinx,Zeri,LPL
HANG,22,Support,China,FunPlus Phoenix,2003-02-05,Thresh,Lulu,Leona,LPL
NENY,22,Top Laner,China,Invictus Gaming,2003-09-28,Aatrox,Gwen,Jayce,LPL
ZIKA,22,Top Laner,China,Invictus Gaming,2003-07-07,Gwen,Jax,Camille,LPL
XUN,22,Jungler,China,Invictus Gaming,2002-02-05,Xin Zhao,Wukong,Viego,LPL
YUEKAI,22,Mid Laner,China,Invictus Gaming,2002-07-27,Ryze,Ahri,LeBlanc,LPL
MOLE,22,Mid Laner,China,Invictus Gaming,2000-09-10,Ahri,Taliyah,Galio,LPL
XIAOYUEJI,22,Bot Laner,China,Invictus Gaming,2002-12-12,Jinx,Zeri,Aphelios,LPL
AHN,22,Bot Laner,China,Invictus Gaming,2001-03-15,Aphelios,Draven,Jinx,LPL
WINK,22,Support,China,Invictus Gaming,1999-11-02,Renata Glasc,Nautilus,Aphelios,LPL
LUCAS,22,Support,China,Invictus Gaming,2001-07-27,Nautilus,Tahm Kench,Rakan,LPL
KE,22,Support,China,Invictus Gaming,1998-11-28,Nautilus,Alistar,Amumu,LPL
369,22,Top Laner,China,JD Gaming,2001-07-12,Kennen,Sion,Gangplank,LPL
KANAVI,22,Jungler,South Korea,JD Gaming,2000-11-02,Viego,Lee Sin,Xin Zhao,LPL
YAGAO,22,Mid Laner,China,JD Gaming,1998-10-19,Ahri,Taliyah,Viktor,LPL
LPC,22,Bot Laner,China,JD Gaming,2001-06-20,Ziggs,Jhin,Kai'Sa,LPL
HOPE,22,Bot Laner,China,JD Gaming,2000-09-29,Aphelios,Jinx,Lucian,LPL
MISSING,22,Support,China,JD Gaming,2001-05-26,Nautilus,Lulu,Leona,LPL
FEARNESS,22,Top Laner,China,LGD Gaming,2002-03-18,Gnar,Ornn,Gwen,LPL
GARVEY,22,Top Laner,China,LGD Gaming,2002-01-20,Gnar,Gwen,Renekton,LPL
SHAD0W,22,Jungler,Italy,LGD Gaming,2001-02-25,Viego,Lee Sin,Xin Zhao,LPL
KUI,22,Jungler,China,LGD Gaming,2001-07-01,Viego,Vi,Graves,LPL
YEG,22,Mid Laner,China,LGD Gaming,2001-11-13,Galio,Ahri,LeBlanc,LPL
JAY,22,Mid Laner,China,LGD Gaming,1999-08-12,Ryze,Ahri,Galio,LPL
ERIC,22,Bot Laner,China,LGD Gaming,2001-06-15,Jinx,Aphelios,Ezreal,LPL
JINJIAO,22,Support,China,LGD Gaming,1998-04-15,Nautilus,Leona,Tahm Kench,LPL
ALE,22,Top Laner,China,LNG Esports,2001-07-23,Gnar,Fiora,Jayce,LPL
TARZAN,22,Jungler,South Korea,LNG Esports,1999-08-23,Lee Sin,Wukong,Trundle,LPL
DOINB,22,Mid Laner,South Korea,LNG Esports,1996-12-30,Ryze,Corki,Taliyah,LPL
LIGHT,22,Bot Laner,China,LNG Esports,2001-02-21,Zeri,Aphelios,Jinx,LPL
LVMAO,22,Support,China,LNG Esports,1996-03-07,Lulu,Nami,Nautilus,LPL
IWANDY,22,Support,China,LNG Esports,2000-08-27,Rakan,Nautilus,Renata Glasc,LPL
SHANJI,22,Top Laner,China,Oh My God,2000-09-14,Gwen,Gangplank,Rumble,LPL
AKI,22,Jungler,China,Oh My God,2000-04-09,Xin Zhao,Viego,Poppy,LPL
CREME,22,Mid Laner,China,Oh My God,2003-12-14,Corki,Ahri,Viktor,LPL
ABLE,22,Bot Laner,China,Oh My God,2000-02-24,Aphelios,Jinx,Ezreal,LPL
COLD,22,Support,China,Oh My God,1997-02-01,Nautilus,Braum,Leona,LPL
CUBE,22,Top Laner,China,Rare Atom,2002-07-14,Gwen,Jax,Jayce,LPL
LEYAN,22,Jungler,China,Rare Atom,2002-07-07,Xin Zhao,Viego,Wukong,LPL
STRIVE,22,Mid Laner,China,Rare Atom,2002-08-28,Corki,Ryze,Viktor,LPL
IBOY,22,Bot Laner,China,Rare Atom,2000-07-12,Jinx,Aphelios,Zeri,LPL
ZORAH,22,Support,China,Rare Atom,2003-05-08,Braum,Leona,Rakan,LPL
YUYANJIA,22,Support,China,Rare Atom,,Nautilus,Rakan,Tahm Kench,LPL
BIN,22,Top Laner,China,Royal Never Give Up,2003-09-28,Gnar,Gwen,Jax,LPL
WEI,22,Jungler,China,Royal Never Give Up,2002-11-09,Viego,Lee Sin,Wukong,LPL
XIAOHU,22,Mid Laner,China,Royal Never Give Up,1998-01-28,Ahri,Lissandra,Taliyah,LPL
GALA,22,Bot Laner,China,Royal Never Give Up,2001-02-14,Aphelios,Jinx,Zeri,LPL
MING,22,Support,China,Royal Never Give Up,1998-12-22,Nautilus,Leona,Tahm Kench,LPL
BIUBIU,22,Top Laner,China,Team WE,1999-06-01,Gnar,Gwen,Sejuani,LPL
VIEW,22,Jungler,China,Team WE,2002-07-30,Viego,Xin Zhao,Wukong,LPL
BEISHANG,22,Jungler,China,Team WE,2000-10-15,Viego,Volibear,Xin Zhao,LPL
SHANKS,22,Mid Laner,China,Team WE,2001-03-15,Ryze,Lissandra,Azir,LPL
XIYE,22,Mid Laner,China,Team WE,1997-08-06,Ahri,LeBlanc,Corki,LPL
STAY,22,Bot Laner,China,Team WE,2003-01-19,Aphelios,Zeri,Jinx,LPL
XING,22,Bot Laner,China,Team WE,2002-04-17,Aphelios,Jinx,Zeri,LPL
KEDAYA,22,Support,China,Team WE,2001-05-04,Leona,Rakan,Lulu,LPL
NEW,22,Top Laner,China,ThunderTalk Gaming,1998-09-01,Camille,Gragas,Gwen,LPL
FRIGID,22,Jungler,China,ThunderTalk Gaming,2002-08-02,Xin Zhao,Viego,Lee Sin,LPL
CHIEFTAIN,22,Jungler,South Korea,ThunderTalk Gaming,2000-11-16,Lee Sin,Xin Zhao,Poppy,LPL
CAPTAIN,22,Mid Laner,China,ThunderTalk Gaming,1999-08-08,Ahri,Orianna,Lissandra,LPL
UCAL,22,Mid Laner,South Korea,ThunderTalk Gaming,2001-01-30,Ryze,Ahri,Sylas,LPL
PUFF,22,Bot Laner,China,ThunderTalk Gaming,1999-02-07,Jinx,Aphelios,Senna,LPL
SOUTHWIND,22,Support,China,ThunderTalk Gaming,1996-07-23,Tahm Kench,Thresh,Lulu,LPL
ZOOM,22,Top Laner,China,Top Esports,1997-07-27,Sejuani,Gnar,Ornn,LPL
WAYWARD,22,Top Laner,China,Top Esports,2001-06-23,Gnar,Gwen,Graves,LPL
TIAN,22,Jungler,China,Top Esports,2000-07-24,Viego,Lee Sin,Trundle,LPL
XIAOPENG,22,Jungler,China,Top Esports,1997-12-01,Nidalee,Xin Zhao,Jarvan IV,LPL
KNIGHT,22,Mid Laner,China,Top Esports,2000-05-22,Ahri,Viktor,Ryze,LPL
JACKEYLOVE,22,Bot Laner,China,Top Esports,2000-11-18,Aphelios,Jinx,Zeri,LPL
ZHUO,22,Support,China,Top Esports,2001-02-13,Braum,Nautilus,Rakan,LPL
MARK,22,Support,China,Top Esports,1999-05-20,Nautilus,Leona,Renata Glasc,LPL
ZS,22,Top Laner,China,Ultra Prime,2002-03-19,Gragas,Gwen,Renekton,LPL
ALIEZ,22,Top Laner,China,Ultra Prime,2001-12-28,Gwen,Gnar,Kennen,LPL
H4CKER,22,Jungler,China,Ultra Prime,1999-01-15,Lee Sin,Xin Zhao,Viego,LPL
CRYIN,22,Mid Laner,China,Ultra Prime,2000-11-05,Corki,Ryze,LeBlanc,LPL
ELK,22,Bot Laner,China,Ultra Prime,2001-09-29,Jinx,Aphelios,Zeri,LPL
SHIAUC,22,Support,Taiwan,Ultra Prime,1999-07-12,Nautilus,Alistar,Leona,LPL
INVINCIBLE,22,Top Laner,China,Victory Five,2001-01-30,Graves,Gnar,Kennen,LPL
RICH,22,Top Laner,South Korea,Victory Five,1998-02-16,Gnar,Gragas,Gwen,LPL
KARSA,22,Jungler,Taiwan,Victory Five,1997-02-14,Lee Sin,Hecarim,Viego,LPL
XLB,22,Jungler,China,Victory Five,1999-08-06,Wukong,Xin Zhao,Rek'Sai,LPL
ROOKIE,22,Mid Laner,South Korea,Victory Five,1997-03-11,Orianna,Ahri,Viktor,LPL
PHOTIC,22,Bot Laner,China,Victory Five,2002-10-11,Aphelios,Jinx,Senna,LPL
PPGOD,22,Support,China,Victory Five,2000-03-31,Nautilus,Tahm Kench,Renata Glasc,LPL
THESHY,22,Top Laner,South Korea,Weibo Gaming,1999-11-11,Gnar,Gwen,Jayce,LPL
SOFM,22,Jungler,China,Weibo Gaming,1998-02-05,Viego,Lee Sin,Wukong,LPL
ANGEL,22,Mid Laner,China,Weibo Gaming,2000-09-16,Ahri,Azir,Orianna,LPL
HUANFENG,22,Bot Laner,China,Weibo Gaming,2001-05-20,Aphelios,Jinx,Zeri,LPL
ON,22,Support,China,Weibo Gaming,2003-05-12,Rakan,Nautilus,Tahm Kench,LPL
SWORDART,22,Support,Taiwan,Weibo Gaming,1996-12-21,Renata Glasc,Nautilus,Thresh,LPL
BIUBIU,21,Top Laner,China,Bilibili Gaming,1999-06-01,Jayce,Camille,Gnar,LPL
METEOR,21,Jungler,China,Bilibili Gaming,1999-12-26,Graves,Olaf,Udyr,LPL
ZEKA,21,Mid Laner,South Korea,Bilibili Gaming,2002-11-28,Sylas,LeBlanc,Twisted Fate,LPL
AIMING,21,Bot Laner,South Korea,Bilibili Gaming,2000-07-20,Ezreal,Kai'Sa,Samira,LPL
MARK,21,Support,China,Bilibili Gaming,1999-05-20,Leona,Nautilus,Alistar,LPL
JWEI,21,Support,China,Bilibili Gaming,2003-01-05,Leona,Thresh,Rell,LPL
FLANDRE,21,Top Laner,China,EDward Gaming,1998-08-28,Jayce,Renekton,Gnar,LPL
JIEJIE,21,Jungler,China,EDward Gaming,2001-10-27,Udyr,Olaf,Xin Zhao,LPL
SCOUT,21,Mid Laner,South Korea,EDward Gaming,1998-03-14,Orianna,Sylas,Ryze,LPL
VIPER,21,Bot Laner,South Korea,EDward Gaming,2000-10-19,Kai'Sa,Aphelios,Ezreal,LPL
MEIKO,21,Support,China,EDward Gaming,1998-06-06,Alistar,Leona,Thresh,LPL
ZS,21,Top Laner,China,eStar Gaming,2002-03-19,Renekton,Sett,Gnar,LPL
H4CKER,21,Jungler,China,eStar Gaming,1999-01-15,Xin Zhao,Udyr,Lee Sin,LPL
IRMA,21,Mid Laner,China,eStar Gaming,,Orianna,Sett,Galio,LPL
INSULATOR,21,Mid Laner,China,eStar Gaming,2000-12-23,Rumble,Sylas,LeBlanc,LPL
RAT,21,Bot Laner,China,eStar Gaming,,Kai'Sa,Ezreal,Xayah,LPL
SHIAUC,21,Support,Taiwan,eStar Gaming,1999-07-12,Alistar,Thresh,Leona,LPL
NUGURI,21,Top Laner,South Korea,FunPlus Phoenix,1999-07-17,Jayce,Gnar,Kennen,LPL
TIAN,21,Jungler,China,FunPlus Phoenix,2000-07-24,Viego,Lee Sin,Volibear,LPL
BO,21,Jungler,China,FunPlus Phoenix,2002-03-02,Olaf,Taliyah,Nidalee,LPL
BEICHUAN,21,Jungler,China,FunPlus Phoenix,2001-07-21,Diana,Xin Zhao,Lillia,LPL
DOINB,21,Mid Laner,South Korea,FunPlus Phoenix,1996-12-30,Orianna,Viktor,Kled,LPL
LWX,21,Bot Laner,China,FunPlus Phoenix,1998-10-24,Kai'Sa,Aphelios,Tristana,LPL
CRISP,21,Support,China,FunPlus Phoenix,1998-08-20,Rell,Thresh,Leona,LPL
THESHY,21,Top Laner,South Korea,Invictus Gaming,1999-11-11,Gnar,Gwen,Renekton,LPL
XUN,21,Jungler,China,Invictus Gaming,2002-02-05,Olaf,Udyr,Diana,LPL
ROOKIE,21,Mid Laner,South Korea,Invictus Gaming,1997-03-11,Syndra,Azir,Ryze,LPL
WINK,21,Support,China,Invictus Gaming,1999-11-02,Varus,Draven,Kalista,LPL
PUFF,21,Bot Laner,China,Invictus Gaming,1999-02-07,Kalista,Aphelios,Varus,LPL
BAOLAN,21,Support,China,Invictus Gaming,1999-07-16,Leona,Galio,Nautilus,LPL
LUCAS,21,Support,China,Invictus Gaming,2001-07-27,Nautilus,Thresh,Leona,LPL
ZOOM,21,Top Laner,China,JD Gaming,1997-07-27,Renekton,Camille,Gwen,LPL
KANAVI,21,Jungler,South Korea,JD Gaming,2000-11-02,Graves,Lee Sin,Lillia,LPL
XIYE,21,Mid Laner,China,JD Gaming,1997-08-06,Sylas,Viego,LeBlanc,LPL
YAGAO,21,Mid Laner,China,JD Gaming,1998-10-19,Zoe,Twisted Fate,Azir,LPL
LOKEN,21,Bot Laner,South Korea,JD Gaming,1998-02-14,Jhin,Varus,Aphelios,LPL
LVMAO,21,Support,China,JD Gaming,1996-03-07,Leona,Thresh,Rell,LPL
CULT,21,Top Laner,China,LGD Gaming,2002-03-18,Jayce,Gnar,Renekton,LPL
KUI,21,Jungler,China,LGD Gaming,2001-07-01,Udyr,Olaf,Lillia,LPL
FLORA,21,Jungler,China,LGD Gaming,1999-12-26,Taliyah,Karthus,Nidalee,LPL
UNIBOY,21,Mid Laner,Taiwan,LGD Gaming,2001-03-03,Orianna,Viktor,Ryze,LPL
GARVEY,21,Top Laner,China,LGD Gaming,2002-01-20,Renekton,Gwen,Kai'Sa,LPL
KRAMER,21,Bot Laner,South Korea,LGD Gaming,1996-03-09,Aphelios,Ezreal,Kai'Sa,LPL
CHANCE,21,Support,China,LGD Gaming,1999-08-16,Rell,Thresh,Leona,LPL
PEACE,21,Support,China,LGD Gaming,2000-07-07,Rell,Alistar,Gragas,LPL
M1KUYA,21,Top Laner,China,LNG Esports,2000-10-06,Gnar,Ornn,Aatrox,LPL
ALE,21,Top Laner,China,LNG Esports,2001-07-23,Viego,Camille,Gwen,LPL
TARZAN,21,Jungler,South Korea,LNG Esports,1999-08-23,Olaf,Lee Sin,Xin Zhao,LPL
ICON,21,Mid Laner,China,LNG Esports,1996-05-22,LeBlanc,Ryze,Azir,LPL
LIGHT,21,Bot Laner,China,LNG Esports,2001-02-21,Varus,Aphelios,Kai'Sa,LPL
IWANDY,21,Support,China,LNG Esports,2000-08-27,Leona,Alistar,Rakan,LPL
NEW,21,Top Laner,China,Oh My God,1998-09-01,Aatrox,Renekton,Gwen,LPL
BRIGHT,21,Mid Laner,China,Oh My God,,Galio,Seraphine,Twisted Fate,LPL
ALIELIE,21,Top Laner,China,Oh My God,2002-09-04,Aatrox,Camille,Gangplank,LPL
AKI,21,Jungler,China,Oh My God,2000-04-09,Xin Zhao,Olaf,Udyr,LPL
WUMING,21,Mid Laner,China,Oh My God,2000-05-27,Galio,Zoe,Ryze,LPL
ERIC,21,Bot Laner,China,Oh My God,2001-06-15,Kai'Sa,Tristana,Samira,LPL
KANE,21,Bot Laner,China,Oh My God,1998-06-26,Kai'Sa,Ezreal,Tristana,LPL
COLD,21,Support,China,Oh My God,1997-02-01,Leona,Alistar,Rell,LPL
CUBE,21,Top Laner,China,Rare Atom,2002-07-14,Renekton,Jayce,Gnar,LPL
AIX,21,Jungler,China,Rare Atom,1999-09-24,Olaf,Pantheon,Graves,LPL
LEYAN,21,Jungler,China,Rare Atom,2002-07-07,Nidalee,Udyr,Xin Zhao,LPL
FOFO,21,Mid Laner,Taiwan,Rare Atom,1999-01-08,Azir,Orianna,LeBlanc,LPL
IBOY,21,Bot Laner,China,Rare Atom,2000-07-12,Kai'Sa,Aphelios,Varus,LPL
HANG,21,Support,China,Rare Atom,2003-02-05,Rakan,Thresh,Leona,LPL
ZIV,21,Top Laner,Taiwan,Rogue Warriors,,Renekton,Gnar,Aatrox,LPL
